Date      | ID    | Username           | Total Money  |Total Distance|  Today Money | Today Distance
2026-01-26|       |                    |     10,176 $ |        12 km |           0 $ |      0 km

2026-02-14|       |                    |     10,223 $ |        13 km |          29 $ |      1 km

2026-03-18|       |                    |     10,223 $ |        13 km |           0 $ |      0 km

----------------------------------------------------------------------------------------------------

2026-01-17| 49454 | ensargez           |      7,542 $ |        12 km |      -2,976 $ |     10 km

2026-03-08|       |                    |      6,564 $ |        16 km |        -478 $ |      1 km

----------------------------------------------------------------------------------------------------

2026-01-22| 49524 | tsimbooky          |     10,545 $ |        10 km |          39 $ |     10 km

2026-02-01|       |                    |     10,515 $ |        13 km |           0 $ |      0 km

----------------------------------------------------------------------------------------------------

2026-01-24| 33440 | lilthree           |      1,290 $ |        36 km |         165 $ |     10 km

2026-02-14|       |                    |      1,334 $ |        39 km |           0 $ |      0 km

----------------------------------------------------------------------------------------------------

2026-01-24| 48440 | ruvdrift           |     10,487 $ |         2 km |           0 $ |      0 km

2026-07-06|       |                    |     10,576 $ |        14 km |          95 $ |     10 km

----------------------------------------------------------------------------------------------------

2026-01-25| 49583 | lucas4234324       |     10,763 $ |        13 km |         185 $ |     10 km
2026-01-26|       |                    |        883 $ |        18 km |      -9,910 $ |      4 km

2026-03-17|       |                    |      1,005 $ |        27 km |          73 $ |      6 km

----------------------------------------------------------------------------------------------------

2026-01-29| 30316 | furkanaydn         |     69,515 $ |    18,336 km |         368 $ |     10 km

----------------------------------------------------------------------------------------------------

2026-02-07| 49698 | bossdachev         |     10,621 $ |        10 km |         112 $ |     10 km

----------------------------------------------------------------------------------------------------

2026-02-16| 37452 | kilo46             |      5,621 $ |     2,947 km |          55 $ |     10 km

----------------------------------------------------------------------------------------------------

2026-03-04| 29644 | rst-bas            |      1,881 $ |     7,840 km |          -8 $ |     10 km

----------------------------------------------------------------------------------------------------

2026-03-09| 49949 | araf33             |          0 $ |         0 km |           0 $ |      0 km
2026-03-15|       |                    |      8,296 $ |        10 km |      -2,199 $ |     10 km

----------------------------------------------------------------------------------------------------

2026-03-14| 50002 | saboooor           |      9,020 $ |        10 km |      -1,480 $ |     10 km

----------------------------------------------------------------------------------------------------

2026-03-15| 591   | Gonzo5             |        788 $ |     1,043 km |         239 $ |     10 km

----------------------------------------------------------------------------------------------------

2026-03-26| 39669 | robzima            |      2,982 $ |       196 km |           0 $ |      0 km
2026-03-27|       |                    |      3,011 $ |       210 km |         -38 $ |     10 km

2026-04-01|       |                    |      3,065 $ |       214 km |           0 $ |      0 km

----------------------------------------------------------------------------------------------------

2026-03-29| 41998 | r_yanj             |      1,463 $ |       235 km |        -500 $ |      0 km
2026-03-31|       |                    |      1,978 $ |       245 km |        -524 $ |     10 km

----------------------------------------------------------------------------------------------------

2026-03-29| 50088 | mrgritex           |     10,756 $ |        10 km |         256 $ |     10 km

----------------------------------------------------------------------------------------------------

2026-04-03| 27003 | urixd1             |     14,778 $ |    12,129 km |      -2,820 $ |      0 km
2026-04-16|       |                    |     14,914 $ |    12,140 km |          85 $ |      6 km

2026-06-27|       |                    |     15,073 $ |    12,152 km |         146 $ |     10 km

----------------------------------------------------------------------------------------------------

2026-04-09| 50147 | kayz0074           |      9,707 $ |        10 km |        -793 $ |     10 km

----------------------------------------------------------------------------------------------------

2026-04-10| 50122 | guipilot           |      6,718 $ |        10 km |      -3,778 $ |     10 km

----------------------------------------------------------------------------------------------------

2026-06-06| 43560 | kataitis           |      4,913 $ |        17 km |       1,105 $ |     10 km

----------------------------------------------------------------------------------------------------

2026-06-07| 50408 | iglaspi22711       |      9,991 $ |         4 km |        -509 $ |      4 km
2026-06-27|       |                    |      9,414 $ |        21 km |         -69 $ |     10 km

2026-07-08|       |                    |      7,370 $ |        28 km |           0 $ |      0 km

----------------------------------------------------------------------------------------------------

2026-06-09| 42969 | dilyht             |      3,916 $ |       565 km |          66 $ |     10 km
2026-06-10|       |                    |      3,921 $ |       566 km |           0 $ |      0 km

----------------------------------------------------------------------------------------------------

2026-06-21| 50516 | kobayashis         |      9,538 $ |        10 km |        -971 $ |     10 km

----------------------------------------------------------------------------------------------------

2026-06-28| 50532 | wfurney            |     10,736 $ |        10 km |         236 $ |     10 km
2026-06-29|       |                    |     10,825 $ |        16 km |           0 $ |      0 km

2026-07-02|       |                    |     10,899 $ |        20 km |           0 $ |      0 km

----------------------------------------------------------------------------------------------------

2025-01-29| 41189 | kruwaga            |      2,095 $ |     6,358 km |           0 $ |      0 km

2025-11-07|       |                    |      2,228 $ |     6,367 km |         132 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-01-29| 46461 | pinguino05         |      8,547 $ |        39 km |           0 $ |      0 km

2025-02-11|       |                    |      7,786 $ |        65 km |           0 $ |      0 km

2025-07-19|       |                    |      7,701 $ |        75 km |         -68 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-02-03| 44118 | mantce             |     10,083 $ |        11 km |          50 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-02-06| 40517 | neozixxs           |     11,935 $ |       561 km |          28 $ |      9 km

2025-03-07|       |                    |     11,947 $ |       568 km |           0 $ |      0 km
2025-03-24|       |                    |     11,947 $ |       568 km |           0 $ |      0 km

2025-12-22|       |                    |     11,947 $ |       568 km |           0 $ |      0 km

----------------------------------------------------------------------------------------------------

2025-02-06| 45731 | ankka_racing       |      8,368 $ |        33 km |         125 $ |      5 km

2025-07-24|       |                    |      8,104 $ |        45 km |         177 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-02-08| 46639 | miguel_gualebrto   |     10,616 $ |         9 km |         113 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-02-08| 46646 | the_racer09        |     10,017 $ |         1 km |           0 $ |      0 km
2025-02-09|       |                    |      9,585 $ |        14 km |        -461 $ |      9 km
2025-02-10|       |                    |      9,585 $ |        14 km |           0 $ |      0 km
2025-02-22|       |                    |      9,587 $ |        15 km |           0 $ |      0 km

----------------------------------------------------------------------------------------------------

2025-02-10| 46030 | aziabc             |      7,129 $ |        25 km |        -399 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-02-18| 19151 | karag mr k_gang_attack |      6,336 $ |     4,792 km |         -27 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-03-02| 45011 | maris611           |      7,051 $ |        13 km |      -2,157 $ |      9 km
2025-03-12|       |                    |      7,026 $ |        15 km |           0 $ |      0 km

----------------------------------------------------------------------------------------------------

2025-03-18| 6702  | johnfromsunnymull  |      2,534 $ |        72 km |         252 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-03-19| 45072 | pajter66           |      1,128 $ |        40 km |        -352 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-03-20| 46048 | tsvetkovvv         |      1,354 $ |         9 km |           0 $ |      0 km
2025-03-23|       |                    |      1,266 $ |        11 km |           0 $ |      0 km
2025-03-27|       |                    |      1,267 $ |        19 km |           0 $ |      0 km

2025-04-05|       |                    |      1,198 $ |        28 km |           5 $ |      6 km
2025-04-12|       |                    |      1,059 $ |        38 km |           0 $ |      0 km
2025-04-13|       |                    |      1,123 $ |        49 km |          81 $ |      9 km
2025-04-27|       |                    |        983 $ |        60 km |         -50 $ |      8 km

----------------------------------------------------------------------------------------------------

2025-03-21| 23500 | bilcrossfoto       |        557 $ |    11,748 km |         330 $ |      9 km

2025-08-11|       |                    |        594 $ |    11,750 km |           0 $ |      0 km

----------------------------------------------------------------------------------------------------

2025-03-27| 39483 | kashopi            |      4,940 $ |        23 km |         113 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-04-01| 45311 | diegosilvaalemao   |      6,299 $ |       106 km |        -440 $ |      4 km

2025-08-15|       |                    |      6,467 $ |       115 km |         160 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-04-17| 39196 | ibitoskiller       |      9,954 $ |       515 km |           0 $ |      0 km
2025-04-19|       |                    |      9,961 $ |       515 km |           0 $ |      0 km

2025-06-05|       |                    |     10,305 $ |       524 km |         307 $ |      8 km
2025-06-15|       |                    |     10,862 $ |       535 km |         538 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-04-18| 20746 | dk_drift           |     68,905 $ |     8,724 km |         176 $ |      9 km

2025-09-18|       |                    |     69,025 $ |     8,725 km |         100 $ |      0 km

----------------------------------------------------------------------------------------------------

2025-04-21| 47189 | lil khonly         |     10,726 $ |         9 km |         226 $ |      9 km
2025-04-23|       |                    |      8,349 $ |        11 km |           0 $ |      0 km

----------------------------------------------------------------------------------------------------

2025-05-01| 47236 | zequinharj         |     10,697 $ |         9 km |         197 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-05-02| 47242 | azap0              |     10,529 $ |         5 km |          33 $ |      3 km
2025-05-07|       |                    |      9,487 $ |        16 km |      -1,048 $ |      9 km
2025-05-09|       |                    |        862 $ |       110 km |           0 $ |      0 km
2025-05-10|       |                    |        847 $ |       110 km |           0 $ |      0 km
2025-05-14|       |                    |        847 $ |       110 km |           0 $ |      0 km
2025-05-15|       |                    |        847 $ |       110 km |           0 $ |      0 km

2025-07-15|       |                    |        847 $ |       110 km |           0 $ |      0 km
2025-07-19|       |                    |        847 $ |       110 km |           0 $ |      0 km

2025-08-26|       |                    |      1,107 $ |       110 km |         260 $ |      0 km
2025-08-28|       |                    |      1,092 $ |       110 km |           0 $ |      0 km

Total     | 47242 | azap0              |         293 $ |       12 km | avg     146 $ | avg    6 km

----------------------------------------------------------------------------------------------------

2025-05-03| 42418 | nekof2             |      1,127 $ |       243 km |         -67 $ |      9 km

2025-12-21|       |                    |      1,049 $ |       244 km |           0 $ |      0 km

----------------------------------------------------------------------------------------------------

2025-05-04| 47260 | rocket455man       |     10,567 $ |         9 km |          67 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-05-07| 1798  | cooljai            |     16,932 $ |    42,643 km |           0 $ |      0 km

2025-10-04|       |                    |      3,944 $ |    42,656 km |     -13,073 $ |      9 km
2025-10-11|       |                    |      4,078 $ |    42,665 km |         121 $ |      8 km

2025-12-15|       |                    |      4,236 $ |    42,675 km |          32 $ |      1 km
2025-12-16|       |                    |      4,244 $ |    42,678 km |           0 $ |      0 km

2026-04-21|       |                    |      4,353 $ |    42,684 km |           0 $ |      0 km

----------------------------------------------------------------------------------------------------

2025-05-12| 47291 | alprngvn           |     10,613 $ |         9 km |         113 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-05-12| 47301 | bliffy             |     10,700 $ |         9 km |         200 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-05-19| 42471 | pedroneves110      |         34 $ |       303 km |        -438 $ |      9 km

2025-08-21|       |                    |       -153 $ |       305 km |         914 $ |      0 km

----------------------------------------------------------------------------------------------------

2025-05-19| 47352 | mitak_ludak        |     10,758 $ |        10 km |         232 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-05-31| 44049 | tofasciveysel      |      8,587 $ |        24 km |        -809 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-06-02| 14665 | eddy678            |     -2,201 $ |    22,233 km |          79 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-06-02| 37250 | theauris           |      6,220 $ |     4,805 km |         166 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-06-05| 38335 | maverick_18        |      2,065 $ |       149 km |         187 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-06-06| 33089 | krakilin12         |      8,198 $ |     1,176 km |         106 $ |      6 km

2026-01-01|       |                    |      7,919 $ |     1,190 km |        -344 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-06-21| 41271 | johnthacker        |       -119 $ |        76 km |           0 $ |      0 km
2025-06-25|       |                    |        -19 $ |        76 km |         100 $ |      0 km
2025-06-27|       |                    |        -19 $ |        76 km |           0 $ |      0 km

2025-08-03|       |                    |        -28 $ |        77 km |           6 $ |      1 km
2025-08-04|       |                    |        132 $ |        86 km |         156 $ |      9 km

2025-09-10|       |                    |        224 $ |        92 km |          92 $ |      6 km

----------------------------------------------------------------------------------------------------

2025-06-27| 47589 | elmasterxd         |          0 $ |         0 km |           0 $ |      0 km
2025-06-28|       |                    |      8,095 $ |        10 km |      -2,425 $ |      9 km
2025-06-29|       |                    |        734 $ |        26 km |      -2,970 $ |      7 km

2025-08-17|       |                    |        430 $ |        35 km |        -304 $ |      9 km

2025-10-05|       |                    |        -50 $ |        37 km |           0 $ |      0 km

----------------------------------------------------------------------------------------------------

2025-06-29| 44349 | bejaranojp         |      5,868 $ |        37 km |        -200 $ |      9 km

2025-07-27|       |                    |      5,574 $ |        47 km |        -277 $ |      9 km

2025-09-20|       |                    |      5,082 $ |        50 km |           2 $ |      2 km

----------------------------------------------------------------------------------------------------

2025-07-01| 47609 | kanvx7             |     10,460 $ |         6 km |         -40 $ |      6 km
2025-07-06|       |                    |     10,001 $ |         9 km |           0 $ |      0 km
2025-07-13|       |                    |      2,556 $ |        21 km |      -6,921 $ |      9 km

2025-10-29|       |                    |        577 $ |        23 km |           0 $ |      0 km

----------------------------------------------------------------------------------------------------

2025-07-04| 39515 | nuri325            |     20,897 $ |    18,981 km |         -57 $ |      9 km
2025-07-10|       |                    |     20,862 $ |    18,981 km |           0 $ |      0 km
2025-07-29|       |                    |     20,347 $ |    18,983 km |           0 $ |      0 km

----------------------------------------------------------------------------------------------------

2025-07-06| 44311 | castledorb         |        125 $ |       183 km |           0 $ |      0 km
2025-07-12|       |                    |        535 $ |       192 km |         410 $ |      9 km

2026-03-13|       |                    |         39 $ |       192 km |           0 $ |      0 km

----------------------------------------------------------------------------------------------------

2025-07-09| 40625 | pedro_s            |      1,097 $ |       576 km |         230 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-07-09| 42087 | ukulele2011        |        344 $ |        50 km |      -3,793 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-07-13| 22454 | jdmano             |        991 $ |     3,087 km |         -24 $ |      7 km
2025-07-16|       |                    |      1,203 $ |     3,096 km |         209 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-07-26| 39749 | joaquim freitas    |     -3,681 $ |       279 km |         356 $ |      9 km

2025-08-14|       |                    |     -3,601 $ |       281 km |          95 $ |      2 km

----------------------------------------------------------------------------------------------------

2025-07-26| 42681 | skarlsson21        |      2,014 $ |        51 km |        -380 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-08-06| 47818 | aubslfs            |     10,677 $ |         8 km |         177 $ |      8 km

2025-10-30|       |                    |     10,672 $ |         8 km |           0 $ |      0 km

2025-12-17|       |                    |     10,730 $ |        11 km |          58 $ |      3 km
2025-12-19|       |                    |     10,437 $ |        22 km |        -313 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-08-15| 39667 | manopiveta         |      6,544 $ |       850 km |           0 $ |      0 km

2025-09-12|       |                    |      6,628 $ |       859 km |          84 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-08-25| 45876 | zurashiko          |     10,961 $ |        20 km |         265 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-08-26| 43791 | shadowbelike       |      2,022 $ |        41 km |      -1,055 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-08-26| 47915 | atomicage          |     10,758 $ |         9 km |         258 $ |      9 km
2025-08-28|       |                    |     10,858 $ |        12 km |          48 $ |      2 km

2026-03-08|       |                    |     10,859 $ |        12 km |           0 $ |      0 km
2026-03-30|       |                    |     10,877 $ |        12 km |           0 $ |      0 km

----------------------------------------------------------------------------------------------------

2025-08-28| 47926 | dedoba             |     10,569 $ |         4 km |          42 $ |      3 km

2025-09-30|       |                    |     10,132 $ |        19 km |          10 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-09-08| 36134 | crnsy0             |      1,795 $ |        15 km |         181 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-09-12| 45185 | nabohh             |     10,501 $ |        30 km |           0 $ |      0 km

2026-01-12|       |                    |     10,371 $ |        43 km |        -113 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-09-16| 48021 | igorsartoriodesousa |          0 $ |         0 km |           0 $ |      0 km
2025-09-20|       |                     |      7,617 $ |        11 km |      -2,913 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-09-27| 48094 | vylk               |     10,744 $ |         9 km |         244 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-09-28| 37350 | ttt11              |        878 $ |       102 km |         450 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-09-30| 15020 | karbo              |      9,814 $ |        22 km |        -186 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-09-30| 48107 | becky rose         |     10,757 $ |         9 km |         257 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-10-01| 48112 | t4rcan             |     10,540 $ |         2 km |          -5 $ |      0 km
2025-10-21|       |                    |     10,528 $ |         2 km |           0 $ |      0 km
2025-10-28|       |                    |      6,231 $ |        58 km |           0 $ |      0 km

2026-01-25|       |                    |      6,442 $ |        72 km |          93 $ |      9 km

2026-02-15|       |                    |      6,023 $ |        83 km |          58 $ |      6 km
2026-02-23|       |                    |      5,848 $ |        89 km |           0 $ |      0 km

----------------------------------------------------------------------------------------------------

2025-10-10| 44709 | skidmuff306        |        838 $ |         9 km |         768 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-10-14| 44222 | klos125            |     12,870 $ |       207 km |           0 $ |      0 km

2025-11-08|       |                    |     12,990 $ |       217 km |         121 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-11-04| 48305 | davidcsada         |     10,547 $ |         3 km |          46 $ |      3 km
2025-11-07|       |                    |      9,608 $ |        13 km |        -936 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-11-07| 48317 | valio155           |      9,058 $ |         3 km |      -1,465 $ |      3 km
2025-11-30|       |                    |      5,536 $ |        27 km |           6 $ |      0 km

2025-12-01|       |                    |      2,671 $ |        37 km |      -2,875 $ |      9 km
2025-12-05|       |                    |      1,231 $ |        41 km |      -1,462 $ |      2 km

2026-06-06|       |                    |      1,225 $ |        41 km |           0 $ |      0 km

----------------------------------------------------------------------------------------------------

2025-11-11| 48344 | zbigneze           |     10,708 $ |         9 km |         208 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-11-12| 23158 | joew1997           |      6,345 $ |     3,702 km |         285 $ |      9 km
2025-11-16|       |                    |      5,967 $ |     3,706 km |           0 $ |      0 km
2025-11-20|       |                    |      6,023 $ |     3,709 km |          24 $ |      1 km

----------------------------------------------------------------------------------------------------

2025-12-13| 29568 | jokerzpt           |      2,208 $ |     2,033 km |         -15 $ |      0 km
2025-12-15|       |                    |     10,490 $ |     2,044 km |       8,276 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-12-13| 48612 | asdasd58           |          0 $ |         0 km |           0 $ |      0 km
2025-12-22|       |                    |      1,456 $ |         9 km |      -9,067 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-12-14| 48631 | sinneruy           |     10,614 $ |         9 km |         114 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-12-14| 48650 | molk123            |     10,575 $ |         9 km |          75 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-12-15| 8742  | finlay             |      1,726 $ |       127 km |        -216 $ |      9 km

2026-01-05|       |                    |        799 $ |       131 km |           0 $ |      0 km

----------------------------------------------------------------------------------------------------

2025-12-17| 15973 | racer autov8       |     10,618 $ |     1,305 km |         103 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-12-17| 35954 | toxiccation1337    |      1,357 $ |        23 km |         153 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-12-17| 48728 | thigasunbreak      |     10,432 $ |         6 km |         -68 $ |      6 km

2026-01-04|       |                    |      9,696 $ |        18 km |        -395 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-12-18| 48783 | igrok_v_komp       |      9,646 $ |         9 km |        -854 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-12-19| 48823 | dokk3abi           |     10,691 $ |         9 km |         191 $ |      9 km
2025-12-28|       |                    |     10,204 $ |        10 km |           0 $ |      0 km

----------------------------------------------------------------------------------------------------

2025-12-19| 48826 | power_shadow       |      8,106 $ |         9 km |      -2,394 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-12-23| 43278 | kim121210          |        692 $ |         9 km |         206 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-12-24| 43812 | void1              |      8,826 $ |       144 km |          38 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-12-25| 44606 | manolo122          |     10,663 $ |        13 km |         174 $ |      9 km

2026-01-21|       |                    |     10,702 $ |        15 km |           0 $ |      0 km

----------------------------------------------------------------------------------------------------

2025-12-28| 49123 | curvishonn         |     10,120 $ |         9 km |        -380 $ |      9 km

----------------------------------------------------------------------------------------------------

2026-01-01| 23698 | gokhancenkci       |     17,792 $ |     2,027 km |           4 $ |      1 km
2026-01-02|       |                    |      8,374 $ |     2,038 km |      -9,468 $ |      9 km

----------------------------------------------------------------------------------------------------

2026-01-03| 49238 | tyking14           |     10,751 $ |         9 km |         247 $ |      9 km

----------------------------------------------------------------------------------------------------

2026-01-07| 49303 | peter_pl           |     10,703 $ |         9 km |         203 $ |      9 km

----------------------------------------------------------------------------------------------------

2026-01-11| 49379 | rui afonso         |          0 $ |         0 km |           0 $ |      0 km
2026-01-22|       |                    |      9,491 $ |         9 km |      -1,009 $ |      9 km
2026-01-23|       |                    |      8,444 $ |        20 km |        -571 $ |      9 km

2026-02-01|       |                    |      8,388 $ |        24 km |         -29 $ |      4 km

----------------------------------------------------------------------------------------------------

2026-01-12| 49385 | oalason            |     10,766 $ |         9 km |         266 $ |      9 km

----------------------------------------------------------------------------------------------------

2026-01-22| 39616 | jnk1337            |      2,180 $ |        77 km |         272 $ |      8 km
2026-01-26|       |                    |      2,415 $ |        92 km |         109 $ |      9 km
2026-01-30|       |                    |      2,467 $ |        96 km |           0 $ |      0 km

2026-02-07|       |                    |      2,483 $ |       100 km |           0 $ |      0 km

----------------------------------------------------------------------------------------------------

2026-01-27| 32879 | cunha24            |      2,721 $ |       108 km |          55 $ |      2 km

2026-02-13|       |                    |      6,969 $ |       118 km |       4,254 $ |      9 km

----------------------------------------------------------------------------------------------------

2026-01-29| 49608 | edvanas            |     10,155 $ |        12 km |        -410 $ |      9 km

----------------------------------------------------------------------------------------------------

2026-01-30| 49629 | andriy404          |      9,680 $ |         9 km |        -771 $ |      9 km

----------------------------------------------------------------------------------------------------

2026-02-01| 5686  | A. Araujo          |      8,392 $ |    34,161 km |         132 $ |      9 km

----------------------------------------------------------------------------------------------------

2026-02-08| 49708 | legalizado         |     10,585 $ |         2 km |           0 $ |      0 km

2026-03-14|       |                    |     10,568 $ |         2 km |           0 $ |      0 km

2026-05-11|       |                    |      8,708 $ |        11 km |      -1,860 $ |      9 km

----------------------------------------------------------------------------------------------------

2026-02-25| 49841 | mitsu1231          |      8,093 $ |         9 km |      -2,406 $ |      9 km

----------------------------------------------------------------------------------------------------

2026-03-23| 50045 | niceluka1          |     10,616 $ |         9 km |          91 $ |      9 km

----------------------------------------------------------------------------------------------------

2026-04-07| 39344 | anti_v             |     56,940 $ |     8,544 km |          21 $ |      9 km

----------------------------------------------------------------------------------------------------

2026-04-25| 50240 | fattaa             |     10,119 $ |         9 km |        -402 $ |      9 km

----------------------------------------------------------------------------------------------------

2026-06-15| 41436 | cristianomiguel    |      1,687 $ |        51 km |      -5,520 $ |      9 km

----------------------------------------------------------------------------------------------------

2025-01-31| 46047 | iv4oone            |      1,775 $ |       177 km |           0 $ |      0 km

2025-02-01|       |                    |        850 $ |       188 km |           0 $ |      0 km
2025-02-02|       |                    |        873 $ |       192 km |           0 $ |      0 km
2025-02-03|       |                    |        895 $ |       197 km |           0 $ |      0 km
2025-02-07|       |                    |      1,031 $ |       209 km |          37 $ |      8 km

2025-09-27|       |                    |      1,007 $ |       213 km |          34 $ |      4 km
2025-09-29|       |                    |        984 $ |       213 km |           0 $ |      0 km

2025-12-17|       |                    |        965 $ |       215 km |         -15 $ |      1 km

----------------------------------------------------------------------------------------------------

2025-02-02| 33838 | elmudo747          |      9,588 $ |     6,737 km |           0 $ |      0 km
2025-02-03|       |                    |      9,736 $ |     6,750 km |           7 $ |      8 km

----------------------------------------------------------------------------------------------------

2025-02-04| 17862 | tomi_993           |      1,561 $ |       280 km |           0 $ |      0 km
2025-02-08|       |                    |      1,121 $ |       290 km |        -406 $ |      8 km
2025-02-14|       |                    |      1,061 $ |       296 km |           0 $ |      0 km

----------------------------------------------------------------------------------------------------

2025-02-04| 46608 | barandesu          |     10,642 $ |         6 km |         142 $ |      6 km

2025-11-11|       |                    |      1,933 $ |        15 km |      -8,723 $ |      8 km

----------------------------------------------------------------------------------------------------

2025-02-15| 45859 | exe77774444        |        970 $ |        58 km |         231 $ |      8 km

----------------------------------------------------------------------------------------------------

2025-02-24| 46772 | yannkezz           |     10,684 $ |         8 km |           0 $ |      0 km

2025-04-20|       |                    |     10,781 $ |        18 km |         130 $ |      8 km

----------------------------------------------------------------------------------------------------

2025-02-26| 23492 | pkdb0402           |      5,090 $ |    11,648 km |          86 $ |      8 km

----------------------------------------------------------------------------------------------------

2025-03-02| 44948 | korkusuz3704       |      8,361 $ |       162 km |        -516 $ |      8 km

2025-10-28|       |                    |      8,380 $ |       165 km |           0 $ |      0 km

----------------------------------------------------------------------------------------------------

2025-03-07| 45824 | drift_king6666     |      8,939 $ |        12 km |      -1,546 $ |      8 km

2025-10-01|       |                    |      8,922 $ |        12 km |           0 $ |      0 km

----------------------------------------------------------------------------------------------------

2025-03-09| 46890 | dxmdopefish        |      4,648 $ |         8 km |      -5,852 $ |      8 km

----------------------------------------------------------------------------------------------------

2025-03-12| 24324 | w3rrd              |        995 $ |        40 km |        -163 $ |      8 km

----------------------------------------------------------------------------------------------------

2025-03-16| 17743 | bust0r             |     12,785 $ |     4,107 km |          60 $ |      8 km

----------------------------------------------------------------------------------------------------

2025-03-17| 37204 | hatrax             |      2,085 $ |        43 km |      -7,360 $ |      8 km

----------------------------------------------------------------------------------------------------

2025-03-21| 33576 | simplesmile        |     20,877 $ |    17,089 km |         167 $ |      6 km

2025-04-27|       |                    |     20,496 $ |    17,098 km |          95 $ |      8 km

2025-05-21|       |                    |     20,030 $ |    17,109 km |          -1 $ |      8 km

----------------------------------------------------------------------------------------------------

2025-03-21| 38013 | adriandr           |      4,582 $ |       340 km |           0 $ |      0 km

2025-06-26|       |                    |      4,567 $ |       340 km |           0 $ |      0 km

2025-07-15|       |                    |      4,567 $ |       351 km |           0 $ |      8 km

2026-01-29|       |                    |      4,617 $ |       354 km |           0 $ |      0 km

2026-02-01|       |                    |      4,617 $ |       354 km |           0 $ |      0 km

----------------------------------------------------------------------------------------------------

2025-03-21| 45822 | leandro martins de jesu |     10,680 $ |         8 km |          56 $ |      2 km
2025-03-25|       |                         |     10,904 $ |        16 km |         243 $ |      8 km

----------------------------------------------------------------------------------------------------

2025-03-22| 980   | warpeace           |        692 $ |     2,894 km |         101 $ |      8 km
2025-03-23|       |                    |        806 $ |     2,902 km |         139 $ |      7 km
2025-03-31|       |                    |        914 $ |     2,911 km |          70 $ |      5 km

2025-04-08|       |                    |        976 $ |     2,917 km |          51 $ |      4 km

